Año;Mes;Centro;Visitantes;fecha
2022;Abril;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3290;2022-04
2022;Abril;CENTRO CULTURAL MIGUEL DELIBES (programación propia);8903;2022-04
2022;Abril;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2361;2022-04
2022;Abril;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);5483;2022-04
2022;Abril;PALACIO DE QUINTANAR;3096;2022-04
2022;Mayo;CENTRO CULTURAL MIGUEL DELIBES (programación propia);4062;2022-05
2022;Mayo;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;13630;2022-05
2022;Mayo;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3820;2022-05
2022;Mayo;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);4205;2022-05
2022;Mayo;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;14715;2022-05
2022;Mayo;PALACIO DE QUINTANAR;3411;2022-05
2022;Mayo;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);35269;2022-05
2022;Mayo;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3275;2022-05
2022;Junio;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2989;2022-06
2022;Junio;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);24892;2022-06
2022;Junio;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;8646;2022-06
2022;Junio;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3651;2022-06
2022;Junio;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);3685;2022-06
2022;Junio;CENTRO CULTURAL MIGUEL DELIBES (programación propia);6751;2022-06
2022;Junio;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;10468;2022-06
2022;Junio;PALACIO DE QUINTANAR;4347;2022-06
2022;Julio;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;8444;2022-07
2022;Julio;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);4513;2022-07
2022;Julio;PALACIO DE QUINTANAR;4732;2022-07
2022;Julio;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);32031;2022-07
2022;Julio;CENTRO CULTURAL MIGUEL DELIBES (programación propia);1001;2022-07
